,0
d1_ret,7671.0
h4_rsi,6525.0
d1_rsi,6249.0
h4_ret,5854.0
hv_50,4787.0
d1_ema200,4659.0
adx_14,3785.0
hour,3626.0
dist_hh_96,3314.0
dow,3163.0
atr_ratio,3038.0
ret_89,3019.0
atr_28,2910.0
h4_ema200,2893.0
hv_20,2842.0
d1_ema50,2815.0
dist_ll_96,2761.0
dist_hh_48,2674.0
h1_rsi,2572.0
ret_55,2420.0
dist_ll_48,2315.0
bb_width,2210.0
dist_ema_200,2151.0
h1_ema200,2138.0
dist_ll_24,2028.0
bb_std,2027.0
atr_pct,1951.0
month,1937.0
dist_hh_24,1896.0
macd_signal,1840.0
sma_200,1728.0
ema_slope_200,1707.0
atr_14,1692.0
obv_slope,1629.0
ret_34,1614.0
vwap_z,1606.0
sma_8,1565.0
h1_ret,1520.0
dist_ll_12,1457.0
macd_hist,1446.0
